"Qty";"Value";"Device";"Package";"Parts";"Description";"CREATED_BY";"DIGIKEY_PART_NUMBER";"MANUFACTURER";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"POPULARITY";"SPICEPREFIX";
"8";"10 RHM10KCT-ND";"R-US_R0805";"R0805";"R1, R4, R7, R10, R13, R16, R19, R22";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"85";"R";
"8";"10k RHM10KKCT-ND";"R-US_R0805";"R0805";"R3, R6, R9, R12, R15, R18, R21, R24";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"85";"R";
"8";"1k RHM1.0KKCT-ND";"R-US_R0805";"R0805";"R2, R5, R8, R11, R14, R17, R20, R23";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"85";"R";
"1";"277-6156-ND";"MPT2";"2POL254";"X2";"PHOENIX CONNECTOR";"";"";"";"";"";"unknown";"unknown";"";"5";"";
"1";"277-7678-ND";"MPT8";"8POL254";"X1";"PHOENIX CONNECTOR";"";"";"";"";"";"unknown";"unknown";"";"0";"";
"8";"BAS70WS_R1_00001";"DIODESOD-323F";"SOD-323F";"D2, D4, D6, D8, D10, D12, D14, D16";"Diode";"";"";"";"";"";"";"";"";"";"";
"8";"BZT52C4V7-13FDICT-ND";"DIODESOD-123";"SOD-123";"D1, D3, D5, D7, D9, D11, D13, D15";"Diode";"";"";"";"";"";"";"";"";"";"";
"8";"CC0805KRX7R9BB104";"CC0805KRX7R9BB104";"CAP_0805";"C1, C2, C3, C4, C5, C6, C7, C8";"CAP CER 0.1UF 50V X7R 0805";"PCBLayout.com";"ECH-U1C103JX5";"Yageo";"";"ECH-U1C103JX5";"";"";"SMD 0805";"";"";
"1";"MOUNT-HOLE3.0";"MOUNT-HOLE3.0";"3,0";"H1";"MOUNTING HOLE with drill center marker";"";"";"";"";"";"";"";"";"3";"";
"1";"holes";"CONN_09LONGPADS";"1X09_LONGPADS";"J1";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";"";"";"";"";
